POSITION,GROUP,LEVEL,FIELD,TIME,CONTRACTOR,CONTRACTOR TYPE,OWNER,LABOR TYPE,UNION NUMBER,WAGE TYPE,BUILDING TYPE,CITY,STATE,DATE,TYPE,BILL RATE,BASE,FICA,FUTA,SUTA,WORK COMP,LIABILITY INS,TAX/INS,FRINGE BENEFITS,PER DIEM,SMALL TOOLS,OT,G&A (OH),PROFIT
ACCOUNTANT,,,,REG,ACCO ENGINEERED SYSTEMS,SUB,GOOGLE,,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2019-06-01,SUPERVISION,,75.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,BNB,GC/CM,GOOGLE,GC PM,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2020-01-01,SUPERVISION,,70.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,BNB,GC/CM,GOOGLE,GC PM,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2021-01-01,SUPERVISION,,72.8,,,,,,,,,,,,
ACCOUNTANT,,,,REG,BNB,GC/CM,GOOGLE,GC PM,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2022-01-01,SUPERVISION,,75.712,,,,,,,,,,,,
ACCOUNTANT,,,,REG,BNB,GC/CM,GOOGLE,GC PM,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2023-01-01,SUPERVISION,,78.36192,,,,,,,,,,,,
ACCOUNTANT,,,,REG,BNB,GC/CM,GOOGLE,GC PM,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2023-01-01,SUPERVISION,,50.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,BNB,GC/CM,GOOGLE,GC PM,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2023-01-01,SUPERVISION,,71.72,,,,,,,,,,,,
ACCOUNTANT,,,,REG,BNB,GC/CM,GOOGLE,GC PM,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2022-01-01,SUPERVISION,,75.03,,,,,,,,,,,,
ACCOUNTANT,,,,REG,BNB,GC/CM,GOOGLE,GC PM,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2023-01-01,SUPERVISION,,76.53,,,,,,,,,,,,
ACCOUNTANT,,,,REG,BNB,GC/CM,GOOGLE,GC PM,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2024-01-01,SUPERVISION,,78.03,,,,,,,,,,,,
ACCOUNTANT,,,,REG,EXHIBIT M,GC/CM,GOOGLE,GC PM,,BURDENED,,,,2023-01-01,SUPERVISION,,92.05,,,,,,,,,,,,
ACCOUNTANT,,,,REG,HERMANSON,SUB,GOOGLE,,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2018-12-01,SUPERVISION,,65.0,,,,,,,,,,,3.25,1.625
ACCOUNTANT,,,,REG,HOLADAY-PARKS,SUB,GOOGLE,,,BURDENED,OFFICE-COMMERCIAL,SEATTLE,WA,2018-12-01,SUPERVISION,,65.0,,,,,,,,,,,,
ACCOUNTANT,,,,OT,CANNON & WENDT ELECTRIC CO.,SUB,IRON MOUNTAIN,GC PM,,BURDENED,DATA CENTER,PHOENIX,AZ,2021-06-01,SUPERVISION,,74.83,,,,,,,,,,,,
ACCOUNTANT,,,,OT,CANNON & WENDT ELECTRIC CO.,SUB,IRON MOUNTAIN,GC PM,,BURDENED,DATA CENTER,PHOENIX,AZ,2021-06-01,SUPERVISION,,73.8,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CANNON & WENDT ELECTRIC CO.,SUB,IRON MOUNTAIN,GC PM,,BURDENED,DATA CENTER,PHOENIX,AZ,2021-06-01,SUPERVISION,,53.67,,,,,,,,,,,,
ACCOUNTANT,,,,REG,CANNON & WENDT ELECTRIC CO.,SUB,IRON MOUNTAIN,GC PM,,BURDENED,DATA CENTER,PHOENIX,AZ,2021-06-01,SUPERVISION,,52.64,,,,,,,,,,,,
ACCOUNTANT,,,,REG,HOLDER,GC/CM,IRON MOUNTAIN,GC PM,,BURDENED,DATA CENTER,PHOENIX,AZ,2021-03-18,SUPERVISION,,63.0,,,,,,,,,,,,
ACCOUNTANT,,,ELECTRICAL,REG,CUPERTINO ELECTRIC-INC.,SUB,LAM RESEARCH CORPORATION,GC PM,,BURDENED,SEMICONDUCTOR,FREMONT,CA,2023-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,,,REG,TURNER CONSTRUCTION,GC/CM,LAM RESEARCH CORPORATION,GC PM,,BURDENED,SEMICONDUCTOR,FREMONT,CA,2023-01-01,SUPERVISION,,99.0182727447586,,,,,,,,,,,,
ACCOUNTANT,,,,REG,TURNER CONSTRUCTION,GC/CM,LAM RESEARCH CORPORATION,GC PM,,BURDENED,SEMICONDUCTOR,FREMONT,CA,2024-01-01,SUPERVISION,,103.76918638199656,,,,,,,,,,,,
ACCOUNTANT,,,,REG,TURNER CONSTRUCTION,GC/CM,LAM RESEARCH CORPORATION,GC PM,,BURDENED,SEMICONDUCTOR,FREMONT,CA,2025-01-01,SUPERVISION,,108.75764570109638,,,,,,,,,,,,
